
 frequency_dependence   1

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  1  0  0  1  0  0  0 -1
 mtrx03 =  0 -1  0  1 -1  0  0  0  1
 mtrx04 = -1  1  0 -1  0  0  0  0  1
 mtrx05 =  0 -1  0 -1  0  0  0  0 -1
 mtrx06 =  1  0  0  1 -1  0  0  0 -1
 mtrx07 =  1  0  0  0  1  0  0  0 -1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 = -1  1  0 -1  0  0  0  0 -1
 mtrx10 =  0 -1  0  1 -1  0  0  0 -1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -21.681507  -21.681507  -26.905087   15.127462   -8.963379  -20.741004  -16.096625  -26.325885  -25.293030   -8.834048  -20.611673  -26.196555  -25.192461    0.777612
   2   -9.489556   -9.489556  -18.510395    9.700790   -7.696123  -16.505727  -13.222329  -12.772954  -12.253914   -7.493671  -16.303276  -12.570502  -12.083466    0.841920
   3   -6.295283   -6.295283  -22.703924   11.799186  -10.428919  -21.333658  -17.959507   -9.669434   -9.151183   -9.995714  -20.900453   -9.236229   -8.784516    0.846406
   4   -6.009336   -6.009336  -22.717657   11.790173  -10.485693  -21.413177  -18.083178   -9.339335   -8.830891  -10.038042  -20.965526   -8.891684   -8.451590    0.847314
   5    0.588224    0.588224   -1.318694    0.661828   -2.375495   -3.032361   -3.737957    1.293820    1.248444   -2.351941   -3.008807    1.317374    1.270484    0.935692
   6    1.369079    1.369079   -0.401247    0.215860   -0.974858   -1.160245   -1.281632    1.490467    1.486626   -0.957823   -1.143210    1.507501    1.503122    0.968362
   7    1.412111    1.412111   -0.179888    0.093144   -0.484160   -0.570905   -0.515610    1.356817    1.357656   -0.480657   -0.567401    1.360321    1.361107    0.984822
   8    2.458637    2.458637   -0.653448    0.356945   -1.225119   -1.521622   -1.739472    2.676487    2.668972   -1.194796   -1.491299    2.706810    2.698249    0.965502
   9    2.767534    2.767534   -0.482470    0.263211   -0.968272   -1.187531   -1.236465    2.816468    2.815130   -0.957589   -1.176848    2.827151    2.825521    0.972654
  10    4.420843    4.420843   -1.034308    0.583905   -1.665556   -2.115959   -2.375200    4.680084    4.669450   -1.609518   -2.059922    4.736121    4.723189    0.958980
  11    5.010871    5.010871   -0.830813    0.496183   -1.482544   -1.817174   -1.973547    5.167244    5.161549   -1.460092   -1.794722    5.189696    5.183183    0.963582
  12    6.919457    6.919457   -2.658645    1.536625   -3.954563   -5.076584   -5.749016    7.591890    7.538811   -3.783708   -4.905729    7.762745    7.696180    0.921065
  13    6.985130    6.985130   -7.107463    4.300834   -9.026729  -11.833358  -13.716793    8.868565    8.611220   -8.761644  -11.568273    9.133650    8.840085    0.863364
  14    7.683630    7.683630   -7.432654    4.479476   -9.517572  -12.470750  -14.519122    9.732001    9.439182   -9.206063  -12.159241   10.043510    9.706160    0.857048
  15    7.840004    7.840004   -2.173197    1.402788   -3.355339   -4.125749   -4.600623    8.314878    8.284274   -3.274473   -4.044882    8.395745    8.359929    0.935553
  16    8.778335    8.778335   -2.925138    1.584974   -5.373356   -6.713520   -7.742452    9.807267    9.694115   -5.173657   -6.513821   10.006966    9.871853    0.890030
 
       k =  0.000000  0.166667  0.000000 ik =   3 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -21.284274  -21.284274  -26.873052   15.087042   -9.033014  -20.819025  -16.192162  -25.911137  -24.890183   -8.898667  -20.684678  -25.776790  -24.785480    0.779342
   2   -8.957252   -8.957252  -18.437867    9.651830   -7.809229  -16.595267  -13.370212  -12.182306  -11.676069   -7.597313  -16.383350  -11.970390  -11.497418    0.843030
   3   -7.675109   -7.675109  -22.651672   11.801797  -10.094615  -20.944490  -17.430111  -11.189487  -10.635009   -9.714747  -20.564622  -10.809619  -10.315075    0.842226
   4   -6.637696   -6.637696  -22.636592   11.740885  -10.289972  -21.185679  -17.823348  -10.000027   -9.481455   -9.865037  -20.760744   -9.575092   -9.122058    0.845770
   5    1.248709    1.248709   -1.317763    0.660759   -2.404572   -3.061576   -3.786963    1.974096    1.926889   -2.378084   -3.035088    2.000584    1.951653    0.934921
   6    2.008005    2.008005   -0.526460    0.288883   -1.126701   -1.364278   -1.529318    2.173044    2.167322   -1.103154   -1.340731    2.196592    2.190053    0.965329
   7    2.077337    2.077337   -0.178228    0.092326   -0.485230   -0.571132   -0.516830    2.023036    2.023862   -0.481332   -0.567233    2.026934    2.027701    0.984791
   8    3.067970    3.067970   -0.857509    0.479310   -1.437692   -1.815890   -2.065771    3.317851    3.308423   -1.395999   -1.774198    3.359543    3.348542    0.962268
   9    3.428299    3.428299   -0.493100    0.269552   -0.989640   -1.213187   -1.269372    3.484484    3.482924   -0.977434   -1.200982    3.496689    3.494790    0.972238
  10    4.917046    4.917046   -1.745297    1.003348   -2.497832   -3.239781   -3.632512    5.309776    5.288473   -2.401427   -3.143376    5.406182    5.379649    0.945756
  11    5.633251    5.633251   -1.157480    0.702027   -1.895318   -2.350771   -2.589745    5.872226    5.862039   -1.861350   -2.316803    5.906193    5.894558    0.957372
  12    6.753524    6.753524   -3.743288    2.107906   -5.700097   -7.335479   -8.373749    7.791794    7.678645   -5.479392   -7.114774    8.012499    7.875299    0.891022
  13    6.814934    6.814934   -6.487682    3.955377   -8.334973  -10.867278  -12.528382    8.476038    8.262077   -8.113011  -10.645316    8.698000    8.455449    0.871194
  14    8.628212    8.628212   -1.890236    1.189715   -2.986680   -3.687201   -4.143477    9.084488    9.057138   -2.903331   -3.603852    9.167837    9.135490    0.940057
  15    8.704435    8.704435   -1.082111    0.520437   -2.579294   -3.140968   -3.658816    9.222283    9.188864   -2.518815   -3.080488    9.282763    9.245441    0.935467
  16    9.284283    9.284283   -7.348331    4.506477   -9.908329  -12.750183  -14.863860   11.397959   11.081534   -9.555004  -12.396858   11.751284   11.381964    0.850296
 
       k =  0.000000  0.250000  0.000000 ik =   4 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -20.651217  -20.651217  -26.846061   15.040843   -9.156880  -20.962098  -16.363919  -25.249396  -24.250037   -9.014100  -20.819318  -25.106616  -24.138289    0.782662
   2   -9.434572   -9.434572  -22.707987   11.868485   -9.704738  -20.544240  -16.857024  -13.121788  -12.517921   -9.379545  -20.219047  -12.796595  -12.245986    0.836227
   3   -8.102271   -8.102271  -18.357788    9.594454   -8.016887  -16.780221  -13.651748  -11.230744  -10.747204   -7.787267  -16.550601  -11.001124  -10.553074    0.845439
   4   -7.365613   -7.365613  -22.623755   11.731382  -10.097691  -20.990064  -17.579825  -10.775853  -10.243118   -9.694959  -20.587333  -10.373121   -9.903300    0.843784
   5    2.308161    2.308161   -1.410255    0.719924   -2.586420   -3.276751   -4.061994    3.093403    3.039658   -2.554487   -3.244818    3.125336    3.069405    0.931555
   6    2.974992    2.974992   -1.607601    0.913131   -2.354323   -3.048793   -3.502688    3.428887    3.403290   -2.279090   -2.973559    3.504120    3.474281    0.943606
   7    3.179649    3.179649   -0.177000    0.094180   -0.485349   -0.568169   -0.508632    3.120112    3.121007   -0.480986   -0.563806    3.124475    3.125305    0.984961
   8    3.876839    3.876839   -2.195747    1.255298   -2.901632   -3.842080   -4.286473    4.321231    4.294647   -2.795182   -3.735630    4.427682    4.394729    0.940178
   9    4.498459    4.498459   -0.624396    0.357093   -1.163708   -1.431011   -1.514664    4.582112    4.579574   -1.146678   -1.413981    4.599142    4.596087    0.969657
  10    5.068859    5.068859   -2.917641    1.622807   -4.253071   -5.547905   -6.283935    5.804889    5.742136   -4.112242   -5.407076    5.945717    5.870957    0.914741
  11    6.241329    6.241329   -4.667679    2.897268   -6.206866   -7.977278   -9.059394    7.323445    7.212822   -6.069023   -7.839434    7.461288    7.336575    0.897772
  12    6.692898    6.692898   -0.942697    0.460539   -2.130170   -2.612328   -3.042070    7.122641    7.099086   -2.088355   -2.570512    7.164457    7.138610    0.945188
  13    7.114227    7.114227   -2.525749    1.502924   -3.567971   -4.590795   -5.249528    7.772960    7.728277   -3.481894   -4.504719    7.859036    7.808514    0.932168
  14    9.432199    9.432199   -0.454623    0.193920   -1.447565   -1.708268   -1.992746    9.716677    9.704470   -1.425562   -1.686266    9.738679    9.725529    0.957092
  15    9.795777    9.795777   -1.636617    1.010362   -2.712725   -3.338980   -3.774895   10.231692   10.206768   -2.628487   -3.254741   10.315930   10.286190    0.942824
  16   11.543027   11.543027   -7.122132    4.484382  -10.422981  -13.060731  -15.260548   13.742844   13.391673  -10.014089  -12.651839   14.151736   13.735292    0.840364
 
       k =  0.000000  0.333333  0.000000 ik =   5 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -19.849605  -19.849605  -26.876178   15.028977   -9.347306  -21.194506  -16.632438  -24.411674  -23.429618   -9.192865  -21.040066  -24.257233  -23.308423    0.784734
   2  -11.199701  -11.199701  -22.764795   11.934416   -9.312904  -20.143283  -16.297349  -15.045635  -14.393085   -9.033669  -19.864048  -14.766400  -14.161229    0.830327
   3   -7.990540   -7.990540  -22.660906   11.754449   -9.956954  -20.863412  -17.406912  -11.447040  -10.900509   -9.570683  -20.477140  -11.060768  -10.575313    0.841883
   4   -7.000417   -7.000417  -18.375243    9.600568   -8.361651  -17.136327  -14.136147  -10.000597   -9.544515   -8.102392  -16.877068   -9.741338   -9.324668    0.847982
   5    2.576517    2.576517   -6.625524    3.706354   -7.894740  -10.813910  -12.277260    4.039867    3.837755   -7.638687  -10.557858    4.295919    4.058442    0.861884
   6    3.708001    3.708001   -1.911767    1.038500   -3.279681   -4.152949   -5.082998    4.638050    4.564641   -3.230843   -4.104111    4.686888    4.609624    0.921069
   7    4.708469    4.708469   -0.243057    0.142376   -0.559608   -0.660289   -0.594341    4.642521    4.643559   -0.553041   -0.653723    4.649088    4.650022    0.984273
   8    4.815725    4.815725   -0.285329    0.138806   -0.923908   -1.070431   -1.137683    4.882977    4.880955   -0.913792   -1.060315    4.893093    4.890768    0.969946
   9    5.778773    5.778773   -2.679407    1.669579   -3.724262   -4.734090   -5.268869    6.313551    6.277367   -3.651253   -4.661082    6.386560    6.345436    0.932338
  10    5.946015    5.946015   -0.394445    0.180997   -1.218726   -1.432173   -1.684807    6.198648    6.189205   -1.203655   -1.417102    6.213719    6.203712    0.962620
  11    6.540309    6.540309   -3.530372    2.157463   -4.867395   -6.240303   -7.110181    7.410186    7.335286   -4.766192   -6.139101    7.511389    7.427775    0.913896
  12    7.929207    7.929207   -0.413787    0.187380   -1.274926   -1.501333   -1.751079    8.178953    8.169313   -1.255478   -1.481885    8.198401    8.188010    0.961401
  13    8.478126    8.478126   -0.907473    0.515239   -1.648670   -2.040905   -2.295647    8.732868    8.722559   -1.610890   -2.003124    8.770649    8.758811    0.959531
  14   10.721094   10.721094   -0.548854    0.263197   -1.545401   -1.831058   -2.137723   11.027759   11.014170   -1.513042   -1.798699   11.060119   11.045095    0.955686
  15   11.243503   11.243503   -1.871707    1.116904   -3.157774   -3.912578   -4.480833   11.811758   11.773881   -3.041674   -3.796478   11.927857   11.882242    0.933345
  16   12.870710   12.870710   -2.883055    1.709044   -5.119996   -6.294007   -7.467915   14.044618   13.922578   -4.948843   -6.122854   14.215772   14.075939    0.896040
 
       k =  0.000000  0.416667  0.000000 ik =   6 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -19.055041  -19.055041  -27.033473   15.105908   -9.600792  -21.528357  -16.997812  -23.585586  -22.623559   -9.433185  -21.360750  -23.417979  -22.491542    0.787658
   2  -12.625890  -12.625890  -22.684452   11.902730   -8.937064  -19.718786  -15.760277  -16.584399  -15.894221   -8.691500  -19.473222  -16.338834  -15.691471    0.825647
   3   -8.400408   -8.400408  -22.703044   11.780445   -9.873561  -20.796160  -17.307649  -11.888919  -11.333003   -9.497060  -20.419659  -11.512418  -11.016500    0.840644
   4   -5.864470   -5.864470  -18.719455    9.817253   -8.886006  -17.788209  -14.907768   -8.744911   -8.312146   -8.581148  -17.483351   -8.440053   -8.053090    0.849757
   5    1.042055    1.042055   -6.421089    3.503984   -7.479685  -10.396790  -11.770264    2.415529    2.231921   -7.294872  -10.211977    2.600342    2.392027    0.866318
   6    5.033624    5.033624   -4.705052    2.852833   -6.575541   -8.427760   -9.757126    6.362989    6.207347   -6.452096   -8.304314    6.486435    6.316340    0.882920
   7    6.416550    6.416550   -2.191907    1.331652   -3.322479   -4.182734   -4.780165    7.013982    6.973997   -3.262721   -4.122975    7.073741    7.029756    0.933071
   8    6.704571    6.704571   -0.243071    0.116232   -0.970901   -1.097740   -1.243627    6.850458    6.845580   -0.959349   -1.086187    6.862011    6.856746    0.966563
   9    6.828895    6.828895   -0.989048    0.580591   -1.664416   -2.072873   -2.335463    7.091485    7.081555   -1.635504   -2.043961    7.120398    7.109374    0.962183
  10    7.778100    7.778100   -0.386857    0.187391   -1.196719   -1.396185   -1.654074    8.035989    8.026449   -1.176491   -1.375957    8.056217    8.045929    0.963010
  11    8.151372    8.151372   -0.633614    0.347299   -1.275229   -1.561545   -1.720146    8.309974    8.304595   -1.250573   -1.536888    8.334630    8.328415    0.966087
  12    9.688010    9.688010   -0.576310    0.289904   -1.513012   -1.799417   -2.101685    9.990277    9.977226   -1.478377   -1.764783   10.024911   10.010365    0.956823
  13   10.260411   10.260411   -1.208435    0.665706   -2.257707   -2.800436   -3.258508   10.718483   10.693403   -2.185437   -2.728166   10.790752   10.761716    0.945250
  14   10.934506   10.934506   -1.247500    0.652616   -2.787127   -3.382011   -4.261723   11.814218   11.749640   -2.734739   -3.329624   11.866605   11.798181    0.926592
  15   11.585058   11.585058   -0.826406    0.422669   -2.299888   -2.703625   -3.324526   12.205960   12.165619   -2.246422   -2.650159   12.259425   12.215610    0.935028
  16   12.022351   12.022351   -0.132092    0.073495   -0.450966   -0.509563   -0.421632   11.934420   11.935673   -0.442950   -0.501547   11.942436   11.943575    0.985749
 
       k =  0.000000  0.500000  0.000000 ik =   7 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -18.676392  -18.676392  -27.189178   15.200092   -9.762116  -21.751201  -17.234057  -23.193536  -22.238924   -9.587344  -21.576430  -23.018765  -22.101087    0.788669
   2  -13.222979  -13.222979  -22.558054   11.825002   -8.734132  -19.467183  -15.467565  -17.222598  -16.517395   -8.502518  -19.235569  -16.990984  -16.326619    0.823683
   3   -8.542231   -8.542231  -22.720304   11.790867   -9.845971  -20.775408  -17.275547  -12.042092  -11.483023   -9.472686  -20.402123  -11.668806  -11.169366    0.840260
   4   -5.290199   -5.290199  -19.183757   10.107053   -9.278735  -18.355439  -15.511119   -8.134520   -7.706319   -8.939168  -18.015872   -7.794953   -7.417872    0.849454
   5    0.287771    0.287771   -5.927468    3.172248   -7.008826   -9.764046  -11.092752    1.616478    1.445085   -6.870339   -9.625558    1.754965    1.565708    0.871008
   6    5.363336    5.363336   -6.478177    4.023236   -8.573822  -11.028763  -12.516199    6.850773    6.647925   -8.407765  -10.862706    7.016830    6.791337    0.863626
   7    8.076845    8.076845   -1.637990    0.837835   -3.300381   -4.100535   -5.123221    9.099532    9.013263   -3.221159   -4.021313    9.178753    9.085802    0.915645
   8    8.592181    8.592181   -1.068200    0.575344   -2.328513   -2.821369   -3.529544    9.300356    9.256142   -2.302006   -2.794862    9.326863    9.280995    0.937567
   9    8.791801    8.791801   -0.859055    0.451201   -2.147543   -2.555397   -3.165778    9.402181    9.364788   -2.094880   -2.502735    9.454844    9.414224    0.938738
  10    9.149459    9.149459   -0.140241    0.074654   -0.454218   -0.519805   -0.440269    9.069923    9.071064   -0.446757   -0.512344    9.077384    9.078418    0.985658
  11    9.197478    9.197478   -0.110340    0.044707   -0.779652   -0.845285   -0.910474    9.262667    9.260755   -0.774209   -0.839842    9.268111    9.266038    0.970657
  12    9.223614    9.223614   -0.224141    0.118650   -0.650714   -0.756204   -0.792096    9.259506    9.258795   -0.645144   -0.750634    9.265077    9.264255    0.980185
  13    9.863553    9.863553   -0.490125    0.257167   -1.250701   -1.483660   -1.674881   10.054774   10.047947   -1.219665   -1.452623   10.085810   10.077876    0.964300
  14   10.331916   10.331916   -0.185185    0.071994   -0.995015   -1.108206   -1.312790   10.536500   10.529469   -0.985319   -1.098510   10.546196   10.538831    0.965632
  15   10.404943   10.404943   -0.503674    0.275321   -1.103003   -1.331356   -1.410036   10.483623   10.481218   -1.072386   -1.300740   10.514239   10.510899    0.969443
  16   10.615252   10.615252   -0.350744    0.182589   -0.954484   -1.122638   -1.236801   10.729414   10.726083   -0.945211   -1.113365   10.738687   10.735085    0.970820
 
       k =  0.000000  0.583333  0.000000 ik =   8 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -19.055041  -19.055041  -27.033473   15.105899   -9.600789  -21.528363  -16.997812  -23.585592  -22.623565   -9.433182  -21.360756  -23.417985  -22.491547    0.787658
   2  -12.625890  -12.625890  -22.684452   11.902740   -8.937069  -19.718781  -15.760277  -16.584394  -15.894216   -8.691505  -19.473217  -16.338830  -15.691468    0.825647
   3   -8.400408   -8.400408  -22.703044   11.780445   -9.873562  -20.796161  -17.307649  -11.888920  -11.333004   -9.497061  -20.419660  -11.512419  -11.016500    0.840644
   4   -5.864470   -5.864470  -18.719455    9.817252   -8.886004  -17.788208  -14.907768   -8.744910   -8.312145   -8.581146  -17.483349   -8.440052   -8.053089    0.849757
   5    1.042055    1.042055   -6.421089    3.503989   -7.479689  -10.396790  -11.770264    2.415529    2.231921   -7.294877  -10.211978    2.600341    2.392027    0.866318
   6    5.033624    5.033624   -4.705052    2.852835   -6.575545   -8.427761   -9.757126    6.362988    6.207346   -6.452099   -8.304316    6.486434    6.316339    0.882920
   7    6.416550    6.416550   -2.191907    1.331655   -3.322481   -4.182733   -4.780165    7.013983    6.973998   -3.262722   -4.122974    7.073742    7.029757    0.933071
   8    6.704571    6.704571   -0.243071    0.116233   -0.970901   -1.097739   -1.243627    6.850459    6.845581   -0.959349   -1.086187    6.862012    6.856747    0.966563
   9    6.828895    6.828895   -0.989048    0.580592   -1.664416   -2.072873   -2.335463    7.091486    7.081555   -1.635504   -2.043960    7.120398    7.109375    0.962183
  10    7.778100    7.778100   -0.386857    0.187392   -1.196719   -1.396184   -1.654074    8.035990    8.026450   -1.176491   -1.375956    8.056218    8.045930    0.963010
  11    8.151372    8.151372   -0.633614    0.347300   -1.275230   -1.561544   -1.720146    8.309974    8.304596   -1.250573   -1.536887    8.334631    8.328416    0.966087
  12    9.688010    9.688010   -0.576310    0.289905   -1.513012   -1.799417   -2.101685    9.990278    9.977227   -1.478377   -1.764783   10.024912   10.010365    0.956823
  13   10.260411   10.260411   -1.208435    0.665713   -2.257713   -2.800435   -3.258508   10.718484   10.693404   -2.185443   -2.728165   10.790753   10.761717    0.945250
  14   10.934506   10.934506   -1.247500    0.652614   -2.787127   -3.382012   -4.261723   11.814217   11.749639   -2.734739   -3.329625   11.866604   11.798181    0.926592
  15   11.585058   11.585058   -0.826406    0.422669   -2.299888   -2.703625   -3.324526   12.205960   12.165619   -2.246423   -2.650160   12.259425   12.215610    0.935028
  16   12.022351   12.022351   -0.132092    0.073495   -0.450965   -0.509563   -0.421632   11.934420   11.935673   -0.442949   -0.501547   11.942436   11.943575    0.985749
 
       k =  0.000000  0.666667  0.000000 ik =   9 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -19.849605  -19.849605  -26.876178   15.028964   -9.347303  -21.194516  -16.632438  -24.411684  -23.429626   -9.192862  -21.040076  -24.257243  -23.308431    0.784735
   2  -11.199701  -11.199701  -22.764795   11.934430   -9.312912  -20.143276  -16.297349  -15.045629  -14.393080   -9.033678  -19.864043  -14.766395  -14.161224    0.830327
   3   -7.990540   -7.990540  -22.660906   11.754449   -9.956956  -20.863413  -17.406912  -11.447041  -10.900510   -9.570685  -20.477142  -11.060770  -10.575315    0.841883
   4   -7.000417   -7.000417  -18.375243    9.600566   -8.361648  -17.136325  -14.136147  -10.000595   -9.544514   -8.102389  -16.877066   -9.741336   -9.324667    0.847982
   5    2.576517    2.576517   -6.625524    3.706357   -7.894746  -10.813913  -12.277260    4.039865    3.837753   -7.638694  -10.557861    4.295916    4.058439    0.861884
   6    3.708001    3.708001   -1.911767    1.038498   -3.279680   -4.152949   -5.082998    4.638050    4.564640   -3.230842   -4.104111    4.686888    4.609623    0.921069
   7    4.708469    4.708469   -0.243057    0.142376   -0.559608   -0.660289   -0.594341    4.642521    4.643559   -0.553041   -0.653723    4.649088    4.650022    0.984273
   8    4.815725    4.815725   -0.285329    0.138807   -0.923908   -1.070430   -1.137683    4.882978    4.880957   -0.913792   -1.060313    4.893094    4.890769    0.969946
   9    5.778773    5.778773   -2.679407    1.669579   -3.724263   -4.734091   -5.268869    6.313551    6.277367   -3.651254   -4.661082    6.386560    6.345436    0.932338
  10    5.946015    5.946015   -0.394445    0.180999   -1.218726   -1.432171   -1.684807    6.198650    6.189207   -1.203655   -1.417100    6.213721    6.203714    0.962620
  11    6.540309    6.540309   -3.530372    2.157467   -4.867398   -6.240303   -7.110181    7.410187    7.335287   -4.766195   -6.139100    7.511390    7.427776    0.913896
  12    7.929207    7.929207   -0.413787    0.187381   -1.274926   -1.501331   -1.751079    8.178955    8.169315   -1.255478   -1.481884    8.198402    8.188011    0.961401
  13    8.478126    8.478126   -0.907473    0.515257   -1.648688   -2.040904   -2.295647    8.732869    8.722560   -1.610907   -2.003123    8.770650    8.758812    0.959531
  14   10.721094   10.721094   -0.548854    0.263198   -1.545402   -1.831058   -2.137723   11.027760   11.014170   -1.513042   -1.798698   11.060119   11.045096    0.955686
  15   11.243503   11.243503   -1.871707    1.116909   -3.157779   -3.912577   -4.480833   11.811759   11.773882   -3.041679   -3.796476   11.927859   11.882243    0.933345
  16   12.870710   12.870710   -2.883055    1.709084   -5.120036   -6.294007   -7.467915   14.044619   13.922581   -4.948882   -6.122853   14.215773   14.075942    0.896041
 
       k =  0.000000  0.750000  0.000000 ik =  10 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -20.651217  -20.651217  -26.846061   15.040823   -9.156877  -20.962115  -16.363919  -25.249413  -24.250067   -9.014097  -20.819335  -25.106632  -24.138317    0.782666
   2   -9.434572   -9.434572  -22.707987   11.868500   -9.704747  -20.544234  -16.857024  -13.121782  -12.517916   -9.379555  -20.219043  -12.796591  -12.245982    0.836227
   3   -8.102271   -8.102271  -18.357788    9.594452   -8.016885  -16.780220  -13.651748  -11.230743  -10.747203   -7.787265  -16.550600  -11.001123  -10.553073    0.845439
   4   -7.365613   -7.365613  -22.623755   11.731382  -10.097693  -20.990066  -17.579825  -10.775854  -10.243120   -9.694962  -20.587335  -10.373123   -9.903302    0.843784
   5    2.308161    2.308161   -1.410255    0.719923   -2.586419   -3.276751   -4.061994    3.093403    3.039658   -2.554486   -3.244818    3.125336    3.069405    0.931555
