# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
      27     -0.61075940E-07     -0.61920589E-07     -0.37744279E-04     -0.17172983E-03
      28     -0.61105929E-07     -0.61920589E-07     -0.38513933E-04     -0.17172983E-03
      29     -0.61123161E-07     -0.61920589E-07     -0.38794702E-04     -0.17172983E-03
      30     -0.61143191E-07     -0.61920589E-07     -0.39129342E-04     -0.17172983E-03
      31     -0.61162613E-07     -0.61920589E-07     -0.39406445E-04     -0.17172983E-03
      32     -0.61185504E-07     -0.61920589E-07     -0.39866976E-04     -0.17172983E-03
      33     -0.61215521E-07     -0.61920589E-07     -0.40233548E-04     -0.17172983E-03
      34     -0.61259226E-07     -0.61920589E-07     -0.40791724E-04     -0.17172983E-03
      35     -0.61285764E-07     -0.61920589E-07     -0.41088621E-04     -0.17172983E-03
      36     -0.61372058E-07     -0.61920589E-07     -0.42069967E-04     -0.17172983E-03
      37     -0.61408614E-07     -0.61920589E-07     -0.42415800E-04     -0.17172983E-03
      38     -0.61440106E-07     -0.61920589E-07     -0.42889567E-04     -0.17172983E-03
      39     -0.61458705E-07     -0.61920589E-07     -0.43102935E-04     -0.17172983E-03
      40     -0.61470941E-07     -0.61920589E-07     -0.43298595E-04     -0.17172983E-03
      41     -0.61480320E-07     -0.61920589E-07     -0.43447326E-04     -0.17172983E-03
      42     -0.61487896E-07     -0.61920589E-07     -0.43639520E-04     -0.17172983E-03
      43     -0.61502395E-07     -0.61920589E-07     -0.43798822E-04     -0.17172983E-03
      44     -0.61510076E-07     -0.61920589E-07     -0.43964381E-04     -0.17172983E-03
      45     -0.61519698E-07     -0.61920589E-07     -0.44161829E-04     -0.17172983E-03
      46     -0.61526675E-07     -0.61920589E-07     -0.44315082E-04     -0.17172983E-03
      47     -0.61536185E-07     -0.61920589E-07     -0.44441644E-04     -0.17172983E-03
      48     -0.61543338E-07     -0.61920589E-07     -0.44595740E-04     -0.17172983E-03
      49     -0.61551330E-07     -0.61920589E-07     -0.44791530E-04     -0.17172983E-03
      50     -0.61556961E-07     -0.61920589E-07     -0.44912643E-04     -0.17172983E-03
      51     -0.61563882E-07     -0.61920589E-07     -0.45058469E-04     -0.17172983E-03
      52     -0.61572885E-07     -0.61920589E-07     -0.45359576E-04     -0.17172983E-03
      53     -0.61581040E-07     -0.61920589E-07     -0.45544092E-04     -0.17172983E-03
      54     -0.61586298E-07     -0.61920589E-07     -0.45725001E-04     -0.17172983E-03
      55     -0.61599623E-07     -0.61920589E-07     -0.46086429E-04     -0.17172983E-03
      56     -0.61608528E-07     -0.61920589E-07     -0.46403786E-04     -0.17172983E-03
      57     -0.61616701E-07     -0.61920589E-07     -0.46615367E-04     -0.17172983E-03
      58     -0.61624701E-07     -0.61920589E-07     -0.46843698E-04     -0.17172983E-03
      59     -0.61635640E-07     -0.61920589E-07     -0.47119676E-04     -0.17172983E-03
      60     -0.61647738E-07     -0.61920589E-07     -0.47508849E-04     -0.17172983E-03
      61     -0.61659386E-07     -0.61920589E-07     -0.47884541E-04     -0.17172983E-03
      62     -0.61667253E-07     -0.61920589E-07     -0.48248114E-04     -0.17172983E-03
      63     -0.61674558E-07     -0.61920589E-07     -0.48532952E-04     -0.17172983E-03
      64     -0.61679173E-07     -0.61920589E-07     -0.48709241E-04     -0.17172983E-03
      65     -0.61686408E-07     -0.61920589E-07     -0.48993723E-04     -0.17172983E-03
      66     -0.61692311E-07     -0.61920589E-07     -0.49259248E-04     -0.17172983E-03
      67     -0.61698535E-07     -0.61920589E-07     -0.49523243E-04     -0.17172983E-03
      68     -0.61704414E-07     -0.61920589E-07     -0.49819093E-04     -0.17172983E-03
      69     -0.61709857E-07     -0.61920589E-07     -0.50082397E-04     -0.17172983E-03
      70     -0.61715044E-07     -0.61920589E-07     -0.50325968E-04     -0.17172983E-03
      71     -0.61719729E-07     -0.61920589E-07     -0.50545135E-04     -0.17172983E-03
      72     -0.61726218E-07     -0.61920589E-07     -0.50939524E-04     -0.17172983E-03
      73     -0.61731664E-07     -0.61920589E-07     -0.51248501E-04     -0.17172983E-03
      74     -0.61735244E-07     -0.61920589E-07     -0.51479565E-04     -0.17172983E-03
      75     -0.61740231E-07     -0.61920589E-07     -0.51740959E-04     -0.17172983E-03
      76     -0.61743293E-07     -0.61920589E-07     -0.51974853E-04     -0.17172983E-03
      77     -0.61747130E-07     -0.61920589E-07     -0.52151109E-04     -0.17172983E-03
      78     -0.61749627E-07     -0.61920589E-07     -0.52297322E-04     -0.17172983E-03
      79     -0.61752689E-07     -0.61920589E-07     -0.52478936E-04     -0.17172983E-03
      80     -0.61755281E-07     -0.61920589E-07     -0.52623032E-04     -0.17172983E-03
      81     -0.61757636E-07     -0.61920589E-07     -0.52761367E-04     -0.17172983E-03
      82     -0.61759711E-07     -0.61920589E-07     -0.52880599E-04     -0.17172983E-03
      83     -0.61761816E-07     -0.61920589E-07     -0.53011204E-04     -0.17172983E-03
      84     -0.61763787E-07     -0.61920589E-07     -0.53145738E-04     -0.17172983E-03
      85     -0.61766567E-07     -0.61920589E-07     -0.53314422E-04     -0.17172983E-03
      86     -0.61768662E-07     -0.61920589E-07     -0.53474960E-04     -0.17172983E-03
      87     -0.61771310E-07     -0.61920589E-07     -0.53632551E-04     -0.17172983E-03
      88     -0.61773652E-07     -0.61920589E-07     -0.53792994E-04     -0.17172983E-03
      89     -0.61775670E-07     -0.61920589E-07     -0.53908042E-04     -0.17172983E-03
      90     -0.61778018E-07     -0.61920589E-07     -0.54120990E-04     -0.17172983E-03
      91     -0.61779670E-07     -0.61920589E-07     -0.54249286E-04     -0.17172983E-03
      92     -0.61782451E-07     -0.61920589E-07     -0.54516059E-04     -0.17172983E-03
      93     -0.61785452E-07     -0.61920589E-07     -0.54768213E-04     -0.17172983E-03
      94     -0.61786864E-07     -0.61920589E-07     -0.54923294E-04     -0.17172983E-03
      95     -0.61788783E-07     -0.61920589E-07     -0.55122068E-04     -0.17172983E-03
      96     -0.61791420E-07     -0.61920589E-07     -0.55407560E-04     -0.17172983E-03
      97     -0.61794237E-07     -0.61920589E-07     -0.55642479E-04     -0.17172983E-03
      98     -0.61796311E-07     -0.61920589E-07     -0.55845489E-04     -0.17172983E-03
      99     -0.61798382E-07     -0.61920589E-07     -0.56047547E-04     -0.17172983E-03
     100     -0.61799929E-07     -0.61920589E-07     -0.56187457E-04     -0.17172983E-03
     101     -0.61801657E-07     -0.61920589E-07     -0.56341238E-04     -0.17172983E-03
     102     -0.61803857E-07     -0.61920589E-07     -0.56565398E-04     -0.17172983E-03
     103     -0.61805933E-07     -0.61920589E-07     -0.56806553E-04     -0.17172983E-03
     104     -0.61808136E-07     -0.61920589E-07     -0.57088168E-04     -0.17172983E-03
     105     -0.61809848E-07     -0.61920589E-07     -0.57246324E-04     -0.17172983E-03
     106     -0.61811182E-07     -0.61920589E-07     -0.57395829E-04     -0.17172983E-03
     107     -0.61812388E-07     -0.61920589E-07     -0.57527395E-04     -0.17172983E-03
     108     -0.61813889E-07     -0.61920589E-07     -0.57654008E-04     -0.17172983E-03
     109     -0.61815206E-07     -0.61920589E-07     -0.57799994E-04     -0.17172983E-03
     110     -0.61816858E-07     -0.61920589E-07     -0.57958649E-04     -0.17172983E-03
     111     -0.61818379E-07     -0.61920589E-07     -0.58115396E-04     -0.17172983E-03
     112     -0.61819595E-07     -0.61920589E-07     -0.58243824E-04     -0.17172983E-03
     113     -0.61820990E-07     -0.61920589E-07     -0.58409725E-04     -0.17172983E-03
     114     -0.61821897E-07     -0.61920589E-07     -0.58512030E-04     -0.17172983E-03
     115     -0.61823670E-07     -0.61920589E-07     -0.58725449E-04     -0.17172983E-03
     116     -0.61824679E-07     -0.61920589E-07     -0.58852074E-04     -0.17172983E-03
     117     -0.61825925E-07     -0.61920589E-07     -0.59003150E-04     -0.17172983E-03
     118     -0.61826963E-07     -0.61920589E-07     -0.59159195E-04     -0.17172983E-03
     119     -0.61828479E-07     -0.61920589E-07     -0.59332633E-04     -0.17172983E-03
     120     -0.61829310E-07     -0.61920589E-07     -0.59435255E-04     -0.17172983E-03
     121     -0.61830476E-07     -0.61920589E-07     -0.59597469E-04     -0.17172983E-03
     122     -0.61831520E-07     -0.61920589E-07     -0.59729612E-04     -0.17172983E-03
     123     -0.61832542E-07     -0.61920589E-07     -0.59861461E-04     -0.17172983E-03
     124     -0.61833345E-07     -0.61920589E-07     -0.59980640E-04     -0.17172983E-03
     125     -0.61834866E-07     -0.61920589E-07     -0.60178470E-04     -0.17172983E-03
     126     -0.61835688E-07     -0.61920589E-07     -0.60290219E-04     -0.17172983E-03
     127     -0.61837036E-07     -0.61920589E-07     -0.60525851E-04     -0.17172983E-03
     128     -0.61837654E-07     -0.61920589E-07     -0.60613449E-04     -0.17172983E-03
     129     -0.61838787E-07     -0.61920589E-07     -0.60792737E-04     -0.17172983E-03
     130     -0.61839748E-07     -0.61920589E-07     -0.60949947E-04     -0.17172983E-03
     131     -0.61840574E-07     -0.61920589E-07     -0.61087781E-04     -0.17172983E-03
     132     -0.61841410E-07     -0.61920589E-07     -0.61249951E-04     -0.17172983E-03
     133     -0.61842534E-07     -0.61920589E-07     -0.61392589E-04     -0.17172983E-03
     134     -0.61843342E-07     -0.61920589E-07     -0.61515135E-04     -0.17172983E-03
     135     -0.61843914E-07     -0.61920589E-07     -0.61590068E-04     -0.17172983E-03
     136     -0.61844879E-07     -0.61920589E-07     -0.61762337E-04     -0.17172983E-03
     137     -0.61845821E-07     -0.61920589E-07     -0.61908277E-04     -0.17172983E-03
     138     -0.61846532E-07     -0.61920589E-07     -0.62050997E-04     -0.17172983E-03
     139     -0.61847052E-07     -0.61920589E-07     -0.62148801E-04     -0.17172983E-03
     140     -0.61848156E-07     -0.61920589E-07     -0.62296624E-04     -0.17172983E-03
     141     -0.61848681E-07     -0.61920589E-07     -0.62432548E-04     -0.17172983E-03
     142     -0.61849382E-07     -0.61920589E-07     -0.62549214E-04     -0.17172983E-03
     143     -0.61850016E-07     -0.61920589E-07     -0.62706579E-04     -0.17172983E-03
     144     -0.61850820E-07     -0.61920589E-07     -0.62886806E-04     -0.17172983E-03
     145     -0.61851344E-07     -0.61920589E-07     -0.63016595E-04     -0.17172983E-03
     146     -0.61851903E-07     -0.61920589E-07     -0.63166475E-04     -0.17172983E-03
     147     -0.61852692E-07     -0.61920589E-07     -0.63307835E-04     -0.17172983E-03
     148     -0.61853397E-07     -0.61920589E-07     -0.63510480E-04     -0.17172983E-03
     149     -0.61853932E-07     -0.61920589E-07     -0.63627178E-04     -0.17172983E-03
     150     -0.61854851E-07     -0.61920589E-07     -0.63874928E-04     -0.17172983E-03
     151     -0.61855398E-07     -0.61920589E-07     -0.64043138E-04     -0.17172983E-03
     152     -0.61856316E-07     -0.61920589E-07     -0.64223413E-04     -0.17172983E-03
     153     -0.61857160E-07     -0.61920589E-07     -0.64446432E-04     -0.17172983E-03
     154     -0.61857730E-07     -0.61920589E-07     -0.64620975E-04     -0.17172983E-03
     155     -0.61858331E-07     -0.61920589E-07     -0.64778878E-04     -0.17172983E-03
     156     -0.61858918E-07     -0.61920589E-07     -0.64931417E-04     -0.17172983E-03
     157     -0.61859405E-07     -0.61920589E-07     -0.65074216E-04     -0.17172983E-03
     158     -0.61859854E-07     -0.61920589E-07     -0.65179334E-04     -0.17172983E-03
     159     -0.61860629E-07     -0.61920589E-07     -0.65378791E-04     -0.17172983E-03
     160     -0.61861213E-07     -0.61920589E-07     -0.65523280E-04     -0.17172983E-03
     161     -0.61861721E-07     -0.61920589E-07     -0.65672906E-04     -0.17172983E-03
     162     -0.61862336E-07     -0.61920589E-07     -0.65840135E-04     -0.17172983E-03
     163     -0.61863029E-07     -0.61920589E-07     -0.66013499E-04     -0.17172983E-03
     164     -0.61863518E-07     -0.61920589E-07     -0.66173876E-04     -0.17172983E-03
     165     -0.61864214E-07     -0.61920589E-07     -0.66482333E-04     -0.17172983E-03
     166     -0.61864602E-07     -0.61920589E-07     -0.66621155E-04     -0.17172983E-03
     167     -0.61865348E-07     -0.61920589E-07     -0.66896836E-04     -0.17172983E-03
     168     -0.61865745E-07     -0.61920589E-07     -0.67048583E-04     -0.17172983E-03
     169     -0.61866592E-07     -0.61920589E-07     -0.67299824E-04     -0.17172983E-03
     170     -0.61867196E-07     -0.61920589E-07     -0.67516176E-04     -0.17172983E-03
     171     -0.61867886E-07     -0.61920589E-07     -0.67799758E-04     -0.17172983E-03
     172     -0.61868395E-07     -0.61920589E-07     -0.67991053E-04     -0.17172983E-03
     173     -0.61868891E-07     -0.61920589E-07     -0.68267733E-04     -0.17172983E-03
     174     -0.61869364E-07     -0.61920589E-07     -0.68419265E-04     -0.17172983E-03
     175     -0.61870057E-07     -0.61920589E-07     -0.68692453E-04     -0.17172983E-03
     176     -0.61870521E-07     -0.61920589E-07     -0.68870293E-04     -0.17172983E-03
     177     -0.61871023E-07     -0.61920589E-07     -0.69050990E-04     -0.17172983E-03
     178     -0.61871625E-07     -0.61920589E-07     -0.69324418E-04     -0.17172983E-03
     179     -0.61872055E-07     -0.61920589E-07     -0.69484037E-04     -0.17172983E-03
     180     -0.61872897E-07     -0.61920589E-07     -0.69825625E-04     -0.17172983E-03
     181     -0.61873280E-07     -0.61920589E-07     -0.70004338E-04     -0.17172983E-03
     182     -0.61873873E-07     -0.61920589E-07     -0.70213365E-04     -0.17172983E-03
     183     -0.61874311E-07     -0.61920589E-07     -0.70397494E-04     -0.17172983E-03
     184     -0.61874728E-07     -0.61920589E-07     -0.70584776E-04     -0.17172983E-03
     185     -0.61875132E-07     -0.61920589E-07     -0.70803219E-04     -0.17172983E-03
     186     -0.61875505E-07     -0.61920589E-07     -0.71005857E-04     -0.17172983E-03
     187     -0.61875904E-07     -0.61920589E-07     -0.71237599E-04     -0.17172983E-03
     188     -0.61876330E-07     -0.61920589E-07     -0.71429418E-04     -0.17172983E-03
     189     -0.61876777E-07     -0.61920589E-07     -0.71615253E-04     -0.17172983E-03
     190     -0.61877176E-07     -0.61920589E-07     -0.71748482E-04     -0.17172983E-03
     191     -0.61877568E-07     -0.61920589E-07     -0.71919624E-04     -0.17172983E-03
     192     -0.61877848E-07     -0.61920589E-07     -0.72026097E-04     -0.17172983E-03
     193     -0.61878167E-07     -0.61920589E-07     -0.72178199E-04     -0.17172983E-03
     194     -0.61878491E-07     -0.61920589E-07     -0.72290862E-04     -0.17172983E-03
     195     -0.61878940E-07     -0.61920589E-07     -0.72460647E-04     -0.17172983E-03
     196     -0.61879263E-07     -0.61920589E-07     -0.72572823E-04     -0.17172983E-03
     197     -0.61879608E-07     -0.61920589E-07     -0.72741493E-04     -0.17172983E-03
     198     -0.61879932E-07     -0.61920589E-07     -0.72879454E-04     -0.17172983E-03
     199     -0.61880213E-07     -0.61920589E-07     -0.72989942E-04     -0.17172983E-03
     200     -0.61880437E-07     -0.61920589E-07     -0.73095112E-04     -0.17172983E-03
     201     -0.61880755E-07     -0.61920589E-07     -0.73228891E-04     -0.17172983E-03
     202     -0.61881078E-07     -0.61920589E-07     -0.73343542E-04     -0.17172983E-03
     203     -0.61881362E-07     -0.61920589E-07     -0.73463749E-04     -0.17172983E-03
     204     -0.61881639E-07     -0.61920589E-07     -0.73574931E-04     -0.17172983E-03
     205     -0.61881925E-07     -0.61920589E-07     -0.73709779E-04     -0.17172983E-03
     206     -0.61882257E-07     -0.61920589E-07     -0.73856533E-04     -0.17172983E-03
     207     -0.61882611E-07     -0.61920589E-07     -0.74002526E-04     -0.17172983E-03
     208     -0.61882877E-07     -0.61920589E-07     -0.74115112E-04     -0.17172983E-03
     209     -0.61883166E-07     -0.61920589E-07     -0.74245125E-04     -0.17172983E-03
     210     -0.61883379E-07     -0.61920589E-07     -0.74358608E-04     -0.17172983E-03
     211     -0.61883745E-07     -0.61920589E-07     -0.74546617E-04     -0.17172983E-03
     212     -0.61884051E-07     -0.61920589E-07     -0.74689330E-04     -0.17172983E-03
     213     -0.61884272E-07     -0.61920589E-07     -0.74791807E-04     -0.17172983E-03
     214     -0.61884534E-07     -0.61920589E-07     -0.74917100E-04     -0.17172983E-03
     215     -0.61884770E-07     -0.61920589E-07     -0.75056265E-04     -0.17172983E-03
     216     -0.61885115E-07     -0.61920589E-07     -0.75212446E-04     -0.17172983E-03
     217     -0.61885399E-07     -0.61920589E-07     -0.75363576E-04     -0.17172983E-03
     218     -0.61885624E-07     -0.61920589E-07     -0.75478620E-04     -0.17172983E-03
     219     -0.61885855E-07     -0.61920589E-07     -0.75605992E-04     -0.17172983E-03
     220     -0.61886055E-07     -0.61920589E-07     -0.75720759E-04     -0.17172983E-03
     221     -0.61886309E-07     -0.61920589E-07     -0.75857328E-04     -0.17172983E-03
     222     -0.61886514E-07     -0.61920589E-07     -0.75964551E-04     -0.17172983E-03
     223     -0.61886777E-07     -0.61920589E-07     -0.76140827E-04     -0.17172983E-03
     224     -0.61886986E-07     -0.61920589E-07     -0.76259680E-04     -0.17172983E-03
     225     -0.61887256E-07     -0.61920589E-07     -0.76444180E-04     -0.17172983E-03
     226     -0.61887482E-07     -0.61920589E-07     -0.76578451E-04     -0.17172983E-03
     227     -0.61887733E-07     -0.61920589E-07     -0.76758172E-04     -0.17172983E-03
     228     -0.61887941E-07     -0.61920589E-07     -0.76890649E-04     -0.17172983E-03
     229     -0.61888206E-07     -0.61920589E-07     -0.77053402E-04     -0.17172983E-03
     230     -0.61888534E-07     -0.61920589E-07     -0.77241202E-04     -0.17172983E-03
     231     -0.61888719E-07     -0.61920589E-07     -0.77363688E-04     -0.17172983E-03
     232     -0.61888889E-07     -0.61920589E-07     -0.77474774E-04     -0.17172983E-03
     233     -0.61889070E-07     -0.61920589E-07     -0.77595626E-04     -0.17172983E-03
     234     -0.61889293E-07     -0.61920589E-07     -0.77736875E-04     -0.17172983E-03
     235     -0.61889554E-07     -0.61920589E-07     -0.77927650E-04     -0.17172983E-03
     236     -0.61889748E-07     -0.61920589E-07     -0.78108364E-04     -0.17172983E-03
     237     -0.61889947E-07     -0.61920589E-07     -0.78253366E-04     -0.17172983E-03
     238     -0.61890165E-07     -0.61920589E-07     -0.78371026E-04     -0.17172983E-03
     239     -0.61890349E-07     -0.61920589E-07     -0.78516265E-04     -0.17172983E-03
     240     -0.61890496E-07     -0.61920589E-07     -0.78614291E-04     -0.17172983E-03
     241     -0.61890685E-07     -0.61920589E-07     -0.78777224E-04     -0.17172983E-03
     242     -0.61890826E-07     -0.61920589E-07     -0.78882413E-04     -0.17172983E-03
     243     -0.61891002E-07     -0.61920589E-07     -0.79008528E-04     -0.17172983E-03
     244     -0.61891195E-07     -0.61920589E-07     -0.79157836E-04     -0.17172983E-03
     245     -0.61891382E-07     -0.61920589E-07     -0.79282835E-04     -0.17172983E-03
     246     -0.61891563E-07     -0.61920589E-07     -0.79386497E-04     -0.17172983E-03
     247     -0.61891720E-07     -0.61920589E-07     -0.79497122E-04     -0.17172983E-03
     248     -0.61891893E-07     -0.61920589E-07     -0.79622652E-04     -0.17172983E-03
     249     -0.61892053E-07     -0.61920589E-07     -0.79758687E-04     -0.17172983E-03
     250     -0.61892249E-07     -0.61920589E-07     -0.79914234E-04     -0.17172983E-03
     251     -0.61892447E-07     -0.61920589E-07     -0.80057932E-04     -0.17172983E-03
     252     -0.61892618E-07     -0.61920589E-07     -0.80188537E-04     -0.17172983E-03
     253     -0.61892809E-07     -0.61920589E-07     -0.80314335E-04     -0.17172983E-03
     254     -0.61892954E-07     -0.61920589E-07     -0.80427278E-04     -0.17172983E-03
     255     -0.61893120E-07     -0.61920589E-07     -0.80549732E-04     -0.17172983E-03
     256     -0.61893275E-07     -0.61920589E-07     -0.80674410E-04     -0.17172983E-03
     257     -0.61893410E-07     -0.61920589E-07     -0.80793297E-04     -0.17172983E-03
     258     -0.61893550E-07     -0.61920589E-07     -0.80907010E-04     -0.17172983E-03
     259     -0.61893738E-07     -0.61920589E-07     -0.81065362E-04     -0.17172983E-03
     260     -0.61893958E-07     -0.61920589E-07     -0.81247851E-04     -0.17172983E-03
     261     -0.61894086E-07     -0.61920589E-07     -0.81351196E-04     -0.17172983E-03
     262     -0.61894296E-07     -0.61920589E-07     -0.81505294E-04     -0.17172983E-03
     263     -0.61894402E-07     -0.61920589E-07     -0.81604312E-04     -0.17172983E-03
     264     -0.61894570E-07     -0.61920589E-07     -0.81743977E-04     -0.17172983E-03
     265     -0.61894686E-07     -0.61920589E-07     -0.81846006E-04     -0.17172983E-03
     266     -0.61894867E-07     -0.61920589E-07     -0.82010103E-04     -0.17172983E-03
     267     -0.61894981E-07     -0.61920589E-07     -0.82111847E-04     -0.17172983E-03
     268     -0.61895184E-07     -0.61920589E-07     -0.82321788E-04     -0.17172983E-03
     269     -0.61895310E-07     -0.61920589E-07     -0.82436604E-04     -0.17172983E-03
     270     -0.61895449E-07     -0.61920589E-07     -0.82562876E-04     -0.17172983E-03
     271     -0.61895618E-07     -0.61920589E-07     -0.82720343E-04     -0.17172983E-03
     272     -0.61895732E-07     -0.61920589E-07     -0.82832750E-04     -0.17172983E-03
     273     -0.61895947E-07     -0.61920589E-07     -0.83038559E-04     -0.17172983E-03
     274     -0.61896094E-07     -0.61920589E-07     -0.83169818E-04     -0.17172983E-03
     275     -0.61896215E-07     -0.61920589E-07     -0.83299267E-04     -0.17172983E-03
     276     -0.61896355E-07     -0.61920589E-07     -0.83444235E-04     -0.17172983E-03
     277     -0.61896513E-07     -0.61920589E-07     -0.83596101E-04     -0.17172983E-03
     278     -0.61896614E-07     -0.61920589E-07     -0.83704972E-04     -0.17172983E-03
     279     -0.61896742E-07     -0.61920589E-07     -0.83844961E-04     -0.17172983E-03
     280     -0.61896854E-07     -0.61920589E-07     -0.83966413E-04     -0.17172983E-03
     281     -0.61896990E-07     -0.61920589E-07     -0.84102594E-04     -0.17172983E-03
     282     -0.61897088E-07     -0.61920589E-07     -0.84240866E-04     -0.17172983E-03
     283     -0.61897238E-07     -0.61920589E-07     -0.84420092E-04     -0.17172983E-03
     284     -0.61897347E-07     -0.61920589E-07     -0.84533191E-04     -0.17172983E-03
     285     -0.61897505E-07     -0.61920589E-07     -0.84692229E-04     -0.17172983E-03
     286     -0.61897628E-07     -0.61920589E-07     -0.84808011E-04     -0.17172983E-03
     287     -0.61897770E-07     -0.61920589E-07     -0.84988440E-04     -0.17172983E-03
     288     -0.61897895E-07     -0.61920589E-07     -0.85111787E-04     -0.17172983E-03
     289     -0.61898029E-07     -0.61920589E-07     -0.85286324E-04     -0.17172983E-03
     290     -0.61898126E-07     -0.61920589E-07     -0.85397552E-04     -0.17172983E-03
     291     -0.61898231E-07     -0.61920589E-07     -0.85535700E-04     -0.17172983E-03
     292     -0.61898346E-07     -0.61920589E-07     -0.85702905E-04     -0.17172983E-03
     293     -0.61898436E-07     -0.61920589E-07     -0.85814866E-04     -0.17172983E-03
     294     -0.61898537E-07     -0.61920589E-07     -0.85932048E-04     -0.17172983E-03
     295     -0.61898626E-07     -0.61920589E-07     -0.86047974E-04     -0.17172983E-03
     296     -0.61898739E-07     -0.61920589E-07     -0.86194375E-04     -0.17172983E-03
     297     -0.61898864E-07     -0.61920589E-07     -0.86337237E-04     -0.17172983E-03
     298     -0.61898981E-07     -0.61920589E-07     -0.86491435E-04     -0.17172983E-03
     299     -0.61899069E-07     -0.61920589E-07     -0.86611231E-04     -0.17172983E-03
     300     -0.61899178E-07     -0.61920589E-07     -0.86750618E-04     -0.17172983E-03
     301     -0.61899310E-07     -0.61920589E-07     -0.86920064E-04     -0.17172983E-03
     302     -0.61899410E-07     -0.61920589E-07     -0.87043674E-04     -0.17172983E-03
     303     -0.61899500E-07     -0.61920589E-07     -0.87157414E-04     -0.17172983E-03
     304     -0.61899575E-07     -0.61920589E-07     -0.87256447E-04     -0.17172983E-03
     305     -0.61899664E-07     -0.61920589E-07     -0.87361846E-04     -0.17172983E-03
     306     -0.61899759E-07     -0.61920589E-07     -0.87466530E-04     -0.17172983E-03
     307     -0.61899865E-07     -0.61920589E-07     -0.87631372E-04     -0.17172983E-03
     308     -0.61899946E-07     -0.61920589E-07     -0.87746421E-04     -0.17172983E-03
     309     -0.61900037E-07     -0.61920589E-07     -0.87899300E-04     -0.17172983E-03
     310     -0.61900147E-07     -0.61920589E-07     -0.88077031E-04     -0.17172983E-03
     311     -0.61900245E-07     -0.61920589E-07     -0.88205037E-04     -0.17172983E-03
     312     -0.61900333E-07     -0.61920589E-07     -0.88356419E-04     -0.17172983E-03
     313     -0.61900420E-07     -0.61920589E-07     -0.88466886E-04     -0.17172983E-03
     314     -0.61900509E-07     -0.61920589E-07     -0.88592660E-04     -0.17172983E-03
     315     -0.61900597E-07     -0.61920589E-07     -0.88721819E-04     -0.17172983E-03
     316     -0.61900673E-07     -0.61920589E-07     -0.88844511E-04     -0.17172983E-03
     317     -0.61900729E-07     -0.61920589E-07     -0.88938464E-04     -0.17172983E-03
     318     -0.61900831E-07     -0.61920589E-07     -0.89094331E-04     -0.17172983E-03
     319     -0.61900902E-07     -0.61920589E-07     -0.89209931E-04     -0.17172983E-03
     320     -0.61900982E-07     -0.61920589E-07     -0.89353672E-04     -0.17172983E-03
     321     -0.61901043E-07     -0.61920589E-07     -0.89456263E-04     -0.17172983E-03
