# q=  0.43737296E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
     136     -0.11831041E-07     -0.11845524E-07     -0.61799812E-04     -0.17189968E-03
     137     -0.11831221E-07     -0.11845524E-07     -0.61945903E-04     -0.17189968E-03
     138     -0.11831357E-07     -0.11845524E-07     -0.62088762E-04     -0.17189968E-03
     139     -0.11831457E-07     -0.11845524E-07     -0.62186676E-04     -0.17189968E-03
     140     -0.11831668E-07     -0.11845524E-07     -0.62334656E-04     -0.17189968E-03
     141     -0.11831768E-07     -0.11845524E-07     -0.62470734E-04     -0.17189968E-03
     142     -0.11831902E-07     -0.11845524E-07     -0.62587504E-04     -0.17189968E-03
     143     -0.11832024E-07     -0.11845524E-07     -0.62745038E-04     -0.17189968E-03
     144     -0.11832177E-07     -0.11845524E-07     -0.62925458E-04     -0.17189968E-03
     145     -0.11832278E-07     -0.11845524E-07     -0.63055396E-04     -0.17189968E-03
     146     -0.11832385E-07     -0.11845524E-07     -0.63205438E-04     -0.17189968E-03
     147     -0.11832535E-07     -0.11845524E-07     -0.63346940E-04     -0.17189968E-03
     148     -0.11832670E-07     -0.11845524E-07     -0.63549779E-04     -0.17189968E-03
     149     -0.11832773E-07     -0.11845524E-07     -0.63666578E-04     -0.17189968E-03
     150     -0.11832949E-07     -0.11845524E-07     -0.63914592E-04     -0.17189968E-03
     151     -0.11833053E-07     -0.11845524E-07     -0.64082995E-04     -0.17189968E-03
     152     -0.11833229E-07     -0.11845524E-07     -0.64263465E-04     -0.17189968E-03
     153     -0.11833390E-07     -0.11845524E-07     -0.64486719E-04     -0.17189968E-03
     154     -0.11833499E-07     -0.11845524E-07     -0.64661440E-04     -0.17189968E-03
     155     -0.11833614E-07     -0.11845524E-07     -0.64819511E-04     -0.17189968E-03
     156     -0.11833727E-07     -0.11845524E-07     -0.64972204E-04     -0.17189968E-03
     157     -0.11833820E-07     -0.11845524E-07     -0.65115168E-04     -0.17189968E-03
     158     -0.11833906E-07     -0.11845524E-07     -0.65220403E-04     -0.17189968E-03
     159     -0.11834054E-07     -0.11845524E-07     -0.65420089E-04     -0.17189968E-03
     160     -0.11834166E-07     -0.11845524E-07     -0.65564736E-04     -0.17189968E-03
     161     -0.11834263E-07     -0.11845524E-07     -0.65714521E-04     -0.17189968E-03
     162     -0.11834380E-07     -0.11845524E-07     -0.65881941E-04     -0.17189968E-03
     163     -0.11834513E-07     -0.11845524E-07     -0.66055498E-04     -0.17189968E-03
     164     -0.11834607E-07     -0.11845524E-07     -0.66216052E-04     -0.17189968E-03
     165     -0.11834740E-07     -0.11845524E-07     -0.66524852E-04     -0.17189968E-03
     166     -0.11834814E-07     -0.11845524E-07     -0.66663836E-04     -0.17189968E-03
     167     -0.11834957E-07     -0.11845524E-07     -0.66939851E-04     -0.17189968E-03
     168     -0.11835033E-07     -0.11845524E-07     -0.67091776E-04     -0.17189968E-03
     169     -0.11835195E-07     -0.11845524E-07     -0.67343293E-04     -0.17189968E-03
     170     -0.11835310E-07     -0.11845524E-07     -0.67559921E-04     -0.17189968E-03
     171     -0.11835442E-07     -0.11845524E-07     -0.67843795E-04     -0.17189968E-03
     172     -0.11835539E-07     -0.11845524E-07     -0.68035300E-04     -0.17189968E-03
     173     -0.11835634E-07     -0.11845524E-07     -0.68312296E-04     -0.17189968E-03
     174     -0.11835725E-07     -0.11845524E-07     -0.68464005E-04     -0.17189968E-03
     175     -0.11835858E-07     -0.11845524E-07     -0.68737526E-04     -0.17189968E-03
     176     -0.11835946E-07     -0.11845524E-07     -0.68915552E-04     -0.17189968E-03
     177     -0.11836042E-07     -0.11845524E-07     -0.69096436E-04     -0.17189968E-03
     178     -0.11836157E-07     -0.11845524E-07     -0.69370180E-04     -0.17189968E-03
     179     -0.11836240E-07     -0.11845524E-07     -0.69529968E-04     -0.17189968E-03
     180     -0.11836401E-07     -0.11845524E-07     -0.69871949E-04     -0.17189968E-03
     181     -0.11836474E-07     -0.11845524E-07     -0.70050861E-04     -0.17189968E-03
     182     -0.11836587E-07     -0.11845524E-07     -0.70260083E-04     -0.17189968E-03
     183     -0.11836671E-07     -0.11845524E-07     -0.70444411E-04     -0.17189968E-03
     184     -0.11836751E-07     -0.11845524E-07     -0.70631884E-04     -0.17189968E-03
     185     -0.11836828E-07     -0.11845524E-07     -0.70850538E-04     -0.17189968E-03
     186     -0.11836900E-07     -0.11845524E-07     -0.71053393E-04     -0.17189968E-03
     187     -0.11836976E-07     -0.11845524E-07     -0.71285373E-04     -0.17189968E-03
     188     -0.11837057E-07     -0.11845524E-07     -0.71477381E-04     -0.17189968E-03
     189     -0.11837143E-07     -0.11845524E-07     -0.71663393E-04     -0.17189968E-03
     190     -0.11837219E-07     -0.11845524E-07     -0.71796745E-04     -0.17189968E-03
     191     -0.11837294E-07     -0.11845524E-07     -0.71968057E-04     -0.17189968E-03
     192     -0.11837348E-07     -0.11845524E-07     -0.72074628E-04     -0.17189968E-03
     193     -0.11837409E-07     -0.11845524E-07     -0.72226872E-04     -0.17189968E-03
     194     -0.11837471E-07     -0.11845524E-07     -0.72339633E-04     -0.17189968E-03
     195     -0.11837557E-07     -0.11845524E-07     -0.72509590E-04     -0.17189968E-03
     196     -0.11837619E-07     -0.11845524E-07     -0.72621860E-04     -0.17189968E-03
     197     -0.11837685E-07     -0.11845524E-07     -0.72790668E-04     -0.17189968E-03
     198     -0.11837747E-07     -0.11845524E-07     -0.72928755E-04     -0.17189968E-03
     199     -0.11837800E-07     -0.11845524E-07     -0.73039347E-04     -0.17189968E-03
     200     -0.11837843E-07     -0.11845524E-07     -0.73144620E-04     -0.17189968E-03
     201     -0.11837904E-07     -0.11845524E-07     -0.73278523E-04     -0.17189968E-03
     202     -0.11837966E-07     -0.11845524E-07     -0.73393291E-04     -0.17189968E-03
     203     -0.11838020E-07     -0.11845524E-07     -0.73513607E-04     -0.17189968E-03
     204     -0.11838073E-07     -0.11845524E-07     -0.73624890E-04     -0.17189968E-03
     205     -0.11838128E-07     -0.11845524E-07     -0.73759847E-04     -0.17189968E-03
     206     -0.11838191E-07     -0.11845524E-07     -0.73906719E-04     -0.17189968E-03
     207     -0.11838259E-07     -0.11845524E-07     -0.74052850E-04     -0.17189968E-03
     208     -0.11838310E-07     -0.11845524E-07     -0.74165535E-04     -0.17189968E-03
     209     -0.11838365E-07     -0.11845524E-07     -0.74295659E-04     -0.17189968E-03
     210     -0.11838406E-07     -0.11845524E-07     -0.74409251E-04     -0.17189968E-03
     211     -0.11838476E-07     -0.11845524E-07     -0.74597425E-04     -0.17189968E-03
     212     -0.11838535E-07     -0.11845524E-07     -0.74740257E-04     -0.17189968E-03
     213     -0.11838577E-07     -0.11845524E-07     -0.74842836E-04     -0.17189968E-03
     214     -0.11838627E-07     -0.11845524E-07     -0.74968232E-04     -0.17189968E-03
     215     -0.11838672E-07     -0.11845524E-07     -0.75107541E-04     -0.17189968E-03
     216     -0.11838738E-07     -0.11845524E-07     -0.75263873E-04     -0.17189968E-03
     217     -0.11838793E-07     -0.11845524E-07     -0.75415118E-04     -0.17189968E-03
     218     -0.11838836E-07     -0.11845524E-07     -0.75530262E-04     -0.17189968E-03
     219     -0.11838880E-07     -0.11845524E-07     -0.75657765E-04     -0.17189968E-03
     220     -0.11838918E-07     -0.11845524E-07     -0.75772637E-04     -0.17189968E-03
     221     -0.11838967E-07     -0.11845524E-07     -0.75909323E-04     -0.17189968E-03
     222     -0.11839006E-07     -0.11845524E-07     -0.76016649E-04     -0.17189968E-03
     223     -0.11839056E-07     -0.11845524E-07     -0.76193069E-04     -0.17189968E-03
     224     -0.11839096E-07     -0.11845524E-07     -0.76312020E-04     -0.17189968E-03
     225     -0.11839148E-07     -0.11845524E-07     -0.76496686E-04     -0.17189968E-03
     226     -0.11839191E-07     -0.11845524E-07     -0.76631073E-04     -0.17189968E-03
     227     -0.11839239E-07     -0.11845524E-07     -0.76810921E-04     -0.17189968E-03
     228     -0.11839279E-07     -0.11845524E-07     -0.76943504E-04     -0.17189968E-03
     229     -0.11839329E-07     -0.11845524E-07     -0.77106378E-04     -0.17189968E-03
     230     -0.11839392E-07     -0.11845524E-07     -0.77294331E-04     -0.17189968E-03
     231     -0.11839428E-07     -0.11845524E-07     -0.77416922E-04     -0.17189968E-03
     232     -0.11839460E-07     -0.11845524E-07     -0.77528101E-04     -0.17189968E-03
     233     -0.11839495E-07     -0.11845524E-07     -0.77649061E-04     -0.17189968E-03
     234     -0.11839537E-07     -0.11845524E-07     -0.77790444E-04     -0.17189968E-03
     235     -0.11839587E-07     -0.11845524E-07     -0.77981355E-04     -0.17189968E-03
     236     -0.11839624E-07     -0.11845524E-07     -0.78162206E-04     -0.17189968E-03
     237     -0.11839662E-07     -0.11845524E-07     -0.78307337E-04     -0.17189968E-03
     238     -0.11839704E-07     -0.11845524E-07     -0.78425100E-04     -0.17189968E-03
     239     -0.11839740E-07     -0.11845524E-07     -0.78570466E-04     -0.17189968E-03
     240     -0.11839768E-07     -0.11845524E-07     -0.78668587E-04     -0.17189968E-03
     241     -0.11839804E-07     -0.11845524E-07     -0.78831657E-04     -0.17189968E-03
     242     -0.11839831E-07     -0.11845524E-07     -0.78936943E-04     -0.17189968E-03
     243     -0.11839864E-07     -0.11845524E-07     -0.79063170E-04     -0.17189968E-03
     244     -0.11839901E-07     -0.11845524E-07     -0.79212597E-04     -0.17189968E-03
     245     -0.11839937E-07     -0.11845524E-07     -0.79337712E-04     -0.17189968E-03
     246     -0.11839972E-07     -0.11845524E-07     -0.79441466E-04     -0.17189968E-03
     247     -0.11840002E-07     -0.11845524E-07     -0.79552186E-04     -0.17189968E-03
     248     -0.11840035E-07     -0.11845524E-07     -0.79677842E-04     -0.17189968E-03
     249     -0.11840065E-07     -0.11845524E-07     -0.79813993E-04     -0.17189968E-03
     250     -0.11840103E-07     -0.11845524E-07     -0.79969656E-04     -0.17189968E-03
     251     -0.11840141E-07     -0.11845524E-07     -0.80113478E-04     -0.17189968E-03
     252     -0.11840173E-07     -0.11845524E-07     -0.80244194E-04     -0.17189968E-03
     253     -0.11840210E-07     -0.11845524E-07     -0.80370101E-04     -0.17189968E-03
     254     -0.11840238E-07     -0.11845524E-07     -0.80483147E-04     -0.17189968E-03
     255     -0.11840270E-07     -0.11845524E-07     -0.80605719E-04     -0.17189968E-03
     256     -0.11840299E-07     -0.11845524E-07     -0.80730521E-04     -0.17189968E-03
     257     -0.11840325E-07     -0.11845524E-07     -0.80849514E-04     -0.17189968E-03
     258     -0.11840352E-07     -0.11845524E-07     -0.80963316E-04     -0.17189968E-03
     259     -0.11840388E-07     -0.11845524E-07     -0.81121802E-04     -0.17189968E-03
     260     -0.11840430E-07     -0.11845524E-07     -0.81304435E-04     -0.17189968E-03
     261     -0.11840454E-07     -0.11845524E-07     -0.81407870E-04     -0.17189968E-03
     262     -0.11840494E-07     -0.11845524E-07     -0.81562085E-04     -0.17189968E-03
     263     -0.11840515E-07     -0.11845524E-07     -0.81661200E-04     -0.17189968E-03
     264     -0.11840547E-07     -0.11845524E-07     -0.81800990E-04     -0.17189968E-03
     265     -0.11840569E-07     -0.11845524E-07     -0.81903113E-04     -0.17189968E-03
     266     -0.11840604E-07     -0.11845524E-07     -0.82067325E-04     -0.17189968E-03
     267     -0.11840626E-07     -0.11845524E-07     -0.82169169E-04     -0.17189968E-03
     268     -0.11840664E-07     -0.11845524E-07     -0.82379253E-04     -0.17189968E-03
     269     -0.11840689E-07     -0.11845524E-07     -0.82494162E-04     -0.17189968E-03
     270     -0.11840715E-07     -0.11845524E-07     -0.82620536E-04     -0.17189968E-03
     271     -0.11840747E-07     -0.11845524E-07     -0.82778134E-04     -0.17189968E-03
     272     -0.11840769E-07     -0.11845524E-07     -0.82890647E-04     -0.17189968E-03
     273     -0.11840810E-07     -0.11845524E-07     -0.83096621E-04     -0.17189968E-03
     274     -0.11840838E-07     -0.11845524E-07     -0.83227984E-04     -0.17189968E-03
     275     -0.11840862E-07     -0.11845524E-07     -0.83357545E-04     -0.17189968E-03
     276     -0.11840888E-07     -0.11845524E-07     -0.83502623E-04     -0.17189968E-03
     277     -0.11840919E-07     -0.11845524E-07     -0.83654611E-04     -0.17189968E-03
     278     -0.11840938E-07     -0.11845524E-07     -0.83763572E-04     -0.17189968E-03
     279     -0.11840962E-07     -0.11845524E-07     -0.83903680E-04     -0.17189968E-03
     280     -0.11840984E-07     -0.11845524E-07     -0.84025232E-04     -0.17189968E-03
     281     -0.11841010E-07     -0.11845524E-07     -0.84161525E-04     -0.17189968E-03
     282     -0.11841029E-07     -0.11845524E-07     -0.84299935E-04     -0.17189968E-03
     283     -0.11841057E-07     -0.11845524E-07     -0.84479309E-04     -0.17189968E-03
     284     -0.11841078E-07     -0.11845524E-07     -0.84592517E-04     -0.17189968E-03
     285     -0.11841108E-07     -0.11845524E-07     -0.84751679E-04     -0.17189968E-03
     286     -0.11841132E-07     -0.11845524E-07     -0.84867556E-04     -0.17189968E-03
     287     -0.11841159E-07     -0.11845524E-07     -0.85048149E-04     -0.17189968E-03
     288     -0.11841183E-07     -0.11845524E-07     -0.85171598E-04     -0.17189968E-03
     289     -0.11841209E-07     -0.11845524E-07     -0.85346254E-04     -0.17189968E-03
     290     -0.11841227E-07     -0.11845524E-07     -0.85457591E-04     -0.17189968E-03
     291     -0.11841247E-07     -0.11845524E-07     -0.85595844E-04     -0.17189968E-03
     292     -0.11841269E-07     -0.11845524E-07     -0.85763185E-04     -0.17189968E-03
     293     -0.11841287E-07     -0.11845524E-07     -0.85875245E-04     -0.17189968E-03
     294     -0.11841306E-07     -0.11845524E-07     -0.85992533E-04     -0.17189968E-03
     295     -0.11841323E-07     -0.11845524E-07     -0.86108562E-04     -0.17189968E-03
     296     -0.11841344E-07     -0.11845524E-07     -0.86255105E-04     -0.17189968E-03
     297     -0.11841368E-07     -0.11845524E-07     -0.86398062E-04     -0.17189968E-03
     298     -0.11841391E-07     -0.11845524E-07     -0.86552390E-04     -0.17189968E-03
     299     -0.11841408E-07     -0.11845524E-07     -0.86672286E-04     -0.17189968E-03
     300     -0.11841429E-07     -0.11845524E-07     -0.86811811E-04     -0.17189968E-03
     301     -0.11841454E-07     -0.11845524E-07     -0.86981398E-04     -0.17189968E-03
     302     -0.11841473E-07     -0.11845524E-07     -0.87105115E-04     -0.17189968E-03
     303     -0.11841490E-07     -0.11845524E-07     -0.87218944E-04     -0.17189968E-03
     304     -0.11841504E-07     -0.11845524E-07     -0.87318064E-04     -0.17189968E-03
     305     -0.11841522E-07     -0.11845524E-07     -0.87423562E-04     -0.17189968E-03
     306     -0.11841540E-07     -0.11845524E-07     -0.87528322E-04     -0.17189968E-03
     307     -0.11841560E-07     -0.11845524E-07     -0.87693309E-04     -0.17189968E-03
     308     -0.11841575E-07     -0.11845524E-07     -0.87808452E-04     -0.17189968E-03
     309     -0.11841593E-07     -0.11845524E-07     -0.87961471E-04     -0.17189968E-03
     310     -0.11841614E-07     -0.11845524E-07     -0.88139364E-04     -0.17189968E-03
     311     -0.11841633E-07     -0.11845524E-07     -0.88267486E-04     -0.17189968E-03
     312     -0.11841650E-07     -0.11845524E-07     -0.88419010E-04     -0.17189968E-03
     313     -0.11841666E-07     -0.11845524E-07     -0.88529584E-04     -0.17189968E-03
     314     -0.11841683E-07     -0.11845524E-07     -0.88655474E-04     -0.17189968E-03
     315     -0.11841700E-07     -0.11845524E-07     -0.88784748E-04     -0.17189968E-03
     316     -0.11841714E-07     -0.11845524E-07     -0.88907554E-04     -0.17189968E-03
     317     -0.11841725E-07     -0.11845524E-07     -0.89001600E-04     -0.17189968E-03
     318     -0.11841745E-07     -0.11845524E-07     -0.89157604E-04     -0.17189968E-03
     319     -0.11841758E-07     -0.11845524E-07     -0.89273317E-04     -0.17189968E-03
     320     -0.11841774E-07     -0.11845524E-07     -0.89417198E-04     -0.17189968E-03
     321     -0.11841785E-07     -0.11845524E-07     -0.89519889E-04     -0.17189968E-03
